Id,SalePrice
1461,119604.78312894683
1462,156088.1121514925
1463,178108.75353255268
1464,202115.38639459203
1465,195954.3286576036
1466,169536.90729830845
1467,176003.6145151614
1468,167758.25982037227
1469,190558.00285359277
1470,124620.45722048331
1471,180906.597094613
1472,98487.64522356143
1473,96732.952772435
1474,147939.58327076642
1475,117541.05461762127
1476,370344.95984868566
1477,250379.77173419885
1478,319356.70844404504
1479,321758.57226380054
1480,486394.8234426705
1481,333879.9183515895
1482,225554.61633113783
1483,173305.438852983
1484,173612.87128723186
1485,190732.17279076925
1486,192692.29470922847
1487,325941.6169030826
1488,235170.09112682618
1489,195960.19142269692
1490,229066.78506208985
1491,191821.68339765497
1492,88014.2864408424
1493,190435.3128904957
1494,272824.6225192074
1495,278370.5590938769
1496,235255.3259546334
1497,172742.08270092448
1498,175469.5349646905
1499,166908.16222994123
1500,158543.93636215723
1501,170615.96186444195
1502,153113.4912481404
1503,280120.7251868728
1504,242274.54335420177
1505,223367.75882420107
1506,186621.07557517296
1507,237451.2313505112
1508,194601.90581811097
1509,171287.51281765904
1510,144347.94734717644
1511,140628.08640934783
1512,161546.06711508223
1513,150353.26507098784
1514,137927.24697627453
1515,201333.55466993956
1516,146652.62803757255
1517,159394.90243893012
1518,128713.79136140758
1519,206872.00133926413
1520,131651.3051165747
1521,131944.6405289636
1522,167705.21577168844
1523,114611.1092688799
1524,122562.88363448225
1525,121220.24128198856
1526,112381.11820981196
1527,106040.01212297117
1528,130356.3269998045
1529,155709.49422342976
1530,186240.25838232713
1531,113259.87101053889
1532,94177.65913270517
1533,138129.26865899237
1534,124170.47266213637
1535,149789.65447933946
1536,110127.75251951966
1537,72862.45262580973
1538,139881.37083022893
1539,189900.77096879692
1540,90359.34806008384
1541,151539.79867521708
1542,140133.15758839162
1543,201014.442590553
1544,78895.53504508329
1545,112531.85339750457
1546,141214.70151351203
1547,138901.4027005833
1548,135438.66483690892
1549,120091.98925604268
1550,139564.6751296447
1551,100325.76115275678
1552,135680.74332818633
1553,140154.94183205577
1554,120344.90128096315
1555,162666.28959299074
1556,92009.07267472925
1557,97532.23605977875
1558,98675.54023664267
1559,90016.82736689337
1560,137035.440153171
1561,119079.06167662646
1562,132803.05105975264
1563,121277.11281823053
1564,155891.14337290253
1565,150184.38192227902
1566,248630.1810647609
1567,79892.4140743831
1568,225578.115927578
1569,124231.28793896362
1570,147712.8893090047
1571,114023.27391689704
1572,136363.90034670784
1573,237971.9250854142
1574,115977.04389514044
1575,221196.26567273008
1576,247503.5431082014
1577,200105.06937063992
1578,147995.28109327282
1579,136956.2693246195
1580,197249.838871971
1581,147811.11706229387
1582,132447.67050603736
1583,288771.9846041488
1584,216676.74615452593
1585,138487.2933241326
1586,71710.35655824824
1587,104558.4295231359
1588,145129.9409012483
1589,93048.9320635135
1590,135940.50058673706
1591,94204.80285095662
1592,114655.59404816516
1593,122613.10413327761
1594,143103.06038967153
1595,121673.29195394828
1596,235390.7162772288
1597,199268.67845533777
1598,219724.50913867407
1599,170725.11770209693
1600,169667.48709286927
1601,68360.25860619142
1602,111103.33909548887
1603,78283.06836514357
1604,265897.65867847117
1605,239893.02364383062
1606,171565.2476470483
1607,173404.49543461623
1608,221026.8869250534
1609,186600.29862486006
1610,151894.4269190765
1611,140924.69770833256
1612,177197.88281788985
1613,164268.2348337872
1614,119295.6783261754
1615,89414.98995155349
1616,76652.88829991389
1617,91960.24264979587
1618,131211.89845934234
1619,136696.85097938648
1620,196701.13774639944
1621,140350.28535395412
1622,139000.20930698974
1623,263929.3549013161
1624,201763.55082510348
1625,115692.23331717862
1626,163287.45331954697
1627,186425.15004788915
1628,294197.6067777315
1629,189320.54839364416
1630,344328.2509590301
1631,221793.47266143368
1632,238569.59203544326
1633,180366.5320864825
1634,185548.43609946728
1635,178119.65790377994
1636,159280.3080534681
1637,184965.03056009393
1638,183386.55287867325
1639,183144.91305615587
1640,255531.59297034953
1641,180223.71753207594
1642,247348.27864251094
1643,229201.90959085108
1644,248534.4290799448
1645,198906.7331132046
1646,163622.20626014052
